,pseudotime0,pseudotime1,pseudotime2
cell_0,,,0.64335704
cell_1,0.021075573,,
cell_2,0.068059936,,
cell_3,0.1516158,,
cell_4,,0.92816055,
cell_5,,,0.29204616
cell_6,,0.81944054,
cell_7,0.18679327,,
cell_8,,,0.37627944
cell_9,,0.93531346,
cell_10,,,0.6612281
cell_11,0.021262312,,
cell_12,,,0.5948436
cell_13,0.07528798,,
cell_14,,,0.27209714
cell_15,,0.9147481,
cell_16,,,0.2851908
cell_17,,,0.39308488
cell_18,,,0.59992784
cell_19,,0.8819233,
cell_20,,,0.60218763
cell_21,,0.7724474,
cell_22,,0.8206983,
cell_23,,0.92066276,
cell_24,,0.9477458,
cell_25,,0.83721155,
cell_26,0.179522,,
cell_27,,0.9090593,
cell_28,,0.9471708,
cell_29,,,0.64505273
cell_30,,0.8692163,
cell_31,0.13423258,,
cell_32,,,0.63996446
cell_33,0.008875771,,
cell_34,0.10473526,,
cell_35,0.085962854,,
cell_36,,0.8944964,
cell_37,,0.88964045,
cell_38,,,0.44907665
cell_39,,0.9595955,
cell_40,,,0.48660186
cell_41,,0.89169675,
cell_42,0.21925333,,
cell_43,,,0.70114493
cell_44,0.16335134,,
cell_45,0.1267458,,
cell_46,0.19024713,,
cell_47,0.21800333,,
cell_48,,0.9854261,
cell_49,,0.9369614,
cell_50,0.028761543,,
cell_51,,,0.40732542
cell_52,0.07064405,,
cell_53,,0.9168788,
cell_54,0.21829094,,
cell_55,,,0.67260987
cell_56,,0.94696844,
cell_57,0.04915255,,
cell_58,,0.9181837,
cell_59,,0.79987794,
cell_60,,0.77654016,
cell_61,,,0.62139726
cell_62,,,0.5940839
cell_63,0.021870883,,
cell_64,,,0.41989437
cell_65,0.021991368,,
cell_66,,0.8812283,
cell_67,,0.8045254,
cell_68,0.18918161,,
cell_69,0.16567913,,
cell_70,0.076987304,,
cell_71,,0.9583025,
cell_72,,0.82062465,
cell_73,,0.88433784,
cell_74,,,0.44632992
cell_75,,,0.64695764
cell_76,,,0.24411339
cell_77,,,0.6621372
cell_78,,0.75723064,
cell_79,,0.86675155,
cell_80,,,0.3316715
cell_81,,,0.24315228
cell_82,0.0962383,,
cell_83,,0.91021276,
cell_84,,,0.24436848
cell_85,,,0.31985703
cell_86,0.0024616253,,
cell_87,,0.8457626,
cell_88,0.053124156,,
cell_89,0.18069255,,
cell_90,,,0.41193005
cell_91,0.1626538,,
cell_92,0.1710189,,
cell_93,,0.90725225,
cell_94,0.05073104,,
cell_95,,0.8289089,
cell_96,,,0.52480245
cell_97,,,0.5368536
cell_98,,,0.615896
cell_99,0.050730314,,
cell_100,,0.93226933,
cell_101,0.16966394,,
cell_102,0.029210566,,
cell_103,,0.93572944,
cell_104,0.1629058,,
cell_105,,,0.47941455
cell_106,,,0.58346087
cell_107,0.11698209,,
cell_108,0.055906214,,
cell_109,,0.73045415,
cell_110,,,0.26123276
cell_111,0.040968638,,
cell_112,,,0.51844263
cell_113,,,0.6253655
cell_114,,0.84689,
cell_115,,,0.5215619
cell_116,,,0.42157102
cell_117,,0.8232265,
cell_118,,0.89963067,
cell_119,0.21135235,,
cell_120,,0.8404025,
cell_121,,,0.61213964
cell_122,,,0.25102445
cell_123,,0.93868774,
cell_124,,,0.23716883
cell_125,,,0.6615022
cell_126,0.045635287,,
cell_127,,0.79482126,
cell_128,,,0.35453936
cell_129,0.11168643,,
cell_130,,,0.4999508
cell_131,0.10701257,,
cell_132,,,0.71851695
cell_133,,0.7854251,
cell_134,0.049154345,,
cell_135,0.061962288,,
cell_136,0.1916083,,
cell_137,,,0.53015506
cell_138,0.21279533,,
cell_139,0.11400861,,
cell_140,,0.83074397,
cell_141,0.022739053,,
cell_142,0.06882558,,
cell_143,0.03876941,,
cell_144,,0.8679302,
cell_145,0.20164622,,
cell_146,0.15733735,,
cell_147,,0.84487855,
cell_148,0.16549921,,
cell_149,0.035108488,,
cell_150,0.055549346,,
cell_151,,,0.4784513
cell_152,,0.8887783,
cell_153,0.023697875,,
cell_154,,0.749684,
cell_155,0.1274757,,
cell_156,,0.91621614,
cell_157,,0.89062876,
cell_158,0.06364755,,
cell_159,,0.83510685,
cell_160,,0.8682037,
cell_161,0.07313944,,
cell_162,,,0.67375994
cell_163,0.17818357,,
cell_164,0.22713044,,
cell_165,0.05615442,,
cell_166,0.017246941,,
cell_167,,,0.5453852
cell_168,0.13096608,,
cell_169,,0.9473582,
cell_170,,0.8437133,
cell_171,0.05701559,,
cell_172,,,0.52149236
cell_173,0.13960432,,
cell_174,0.11826592,,
cell_175,,,0.48562354
cell_176,0.18156807,,
cell_177,0.019936899,,
cell_178,,,0.6295603
cell_179,0.21222419,,
cell_180,,0.939087,
cell_181,,0.9265608,
cell_182,,,0.24972177
cell_183,,0.96231544,
cell_184,,,0.6086877
cell_185,0.0082114125,,
cell_186,0.1851217,,
cell_187,0.053721536,,
cell_188,,,0.46901318
cell_189,0.021436857,,
cell_190,0.01656214,,
cell_191,,,0.271741
cell_192,0.064972855,,
cell_193,,0.93825334,
cell_194,,,0.24486293
cell_195,,,0.6038728
cell_196,,0.86160916,
cell_197,,,0.24395394
cell_198,,,0.60523397
cell_199,,0.7916532,
cell_200,0.023293901,,
cell_201,0.06338719,,
cell_202,0.12538472,,
cell_203,0.05049488,,
cell_204,,0.81576663,
cell_205,,0.876104,
cell_206,,,0.47269863
cell_207,,0.7881596,
cell_208,,,0.39311683
cell_209,0.012103713,,
cell_210,0.052345674,,
cell_211,,,0.2272444
cell_212,,,0.48242342
cell_213,0.1726689,,
cell_214,,0.80711865,
cell_215,,0.83283186,
cell_216,,,0.2884536
cell_217,,,0.5802232
cell_218,,,0.25066638
cell_219,0.053523865,,
cell_220,,0.83930904,
cell_221,0.035693344,,
cell_222,,,0.35036555
cell_223,,,0.6551983
cell_224,,,0.27392152
cell_225,0.18152091,,
cell_226,0.0340561,,
cell_227,,0.9442251,
cell_228,0.21897946,,
cell_229,0.08079377,,
cell_230,0.08409514,,
cell_231,,0.9305331,
cell_232,,,0.49885416
cell_233,,0.82617474,
cell_234,0.04678411,,
cell_235,0.07562261,,
cell_236,,,0.6425123
cell_237,0.034788907,,
cell_238,,,0.5566601
cell_239,0.015089606,,
cell_240,,,0.5990172
cell_241,,,0.6144277
cell_242,,0.7697227,
cell_243,,,0.6103053
cell_244,0.17049594,,
cell_245,,,0.46880427
cell_246,,0.8340665,
cell_247,0.06442687,,
cell_248,,,0.6207837
cell_249,0.20385543,,
cell_250,,0.7969098,
cell_251,,0.90881014,
cell_252,,0.7221841,
cell_253,,,0.6585454
cell_254,,0.9739228,
cell_255,0.11656492,,
cell_256,0.104963854,,
cell_257,,0.9113559,
cell_258,0.016796043,,
cell_259,0.027810616,,
cell_260,0.08418698,,
cell_261,,0.82005143,
cell_262,0.03983137,,
cell_263,,,0.6458599
cell_264,,,0.5599258
cell_265,0.08248363,,
cell_266,0.050901856,,
cell_267,0.048036132,,
cell_268,,,0.24541485
cell_269,0.031818558,,
cell_270,,,0.28443602
cell_271,,0.9488109,
cell_272,,,0.7156311
cell_273,0.2134881,,
cell_274,0.016436858,,
cell_275,0.020788807,,
cell_276,,0.8617549,
cell_277,0.046721987,,
cell_278,0.06058043,,
cell_279,,0.8717982,
cell_280,0.06697237,,
cell_281,,,0.45383573
cell_282,0.055929873,,
cell_283,0.19289583,,
cell_284,0.06986033,,
cell_285,,0.87488705,
cell_286,,,0.4430274
cell_287,,0.72472256,
cell_288,0.05784382,,
cell_289,,,0.44055173
cell_290,,0.82299143,
cell_291,,0.91599566,
cell_292,0.02269743,,
cell_293,,0.93309546,
cell_294,,0.9530565,
cell_295,,0.89873135,
cell_296,0.034638904,,
cell_297,,0.923683,
cell_298,,0.95442057,
cell_299,,,0.23626809
cell_300,,,0.60186535
cell_301,0.031847876,,
cell_302,,0.9279247,
cell_303,,,0.5985267
cell_304,,,0.59948707
cell_305,0.029286668,,
cell_306,0.008321204,,
cell_307,0.17011684,,
cell_308,,0.89170814,
cell_309,0.028023776,,
cell_310,0.043966725,,
cell_311,,,0.24308647
cell_312,0.22349955,,
cell_313,,0.87388706,
cell_314,,,0.30635762
cell_315,0.050696548,,
cell_316,,0.93922997,
cell_317,0.0846247,,
cell_318,0.0059817187,,
cell_319,0.21229877,,
cell_320,,,0.39861223
cell_321,,,0.57428014
cell_322,,0.85379034,
cell_323,,,0.48149475
cell_324,0.18511973,,
cell_325,,0.8384113,
cell_326,,,0.4157927
cell_327,,0.909416,
cell_328,,0.9716196,
cell_329,,,0.38984743
cell_330,0.12806599,,
cell_331,,0.8283458,
cell_332,0.053939402,,
cell_333,,,0.5998904
cell_334,,0.7719919,
cell_335,,,0.5926904
cell_336,,0.95736104,
cell_337,0.18528786,,
cell_338,0.033615515,,
cell_339,,,0.27167842
cell_340,,0.8086225,
cell_341,,0.7634171,
cell_342,,0.7550388,
cell_343,,0.9498982,
cell_344,,,0.25524822
cell_345,0.0786813,,
cell_346,,,0.48057094
cell_347,0.14789885,,
cell_348,,0.7978114,
cell_349,,,0.4633408
cell_350,0.047872834,,
cell_351,,0.93610835,
cell_352,,0.91830343,
cell_353,0.01537619,,
cell_354,0.1697497,,
cell_355,0.21298131,,
cell_356,0.056531917,,
cell_357,0.05344939,,
cell_358,0.019625958,,
cell_359,0.2084569,,
cell_360,,0.82685447,
cell_361,,0.87848276,
cell_362,,,0.3371365
cell_363,,,0.2519123
cell_364,,,0.6857994
cell_365,,,0.22707395
cell_366,,0.7960195,
cell_367,,0.923359,
cell_368,,0.949901,
cell_369,,0.90495956,
cell_370,0.13210785,,
cell_371,,,0.45734653
cell_372,0.016579509,,
cell_373,,,0.23203976
cell_374,,,0.37787834
cell_375,,,0.6706688
cell_376,0.02747199,,
cell_377,0.20168346,,
cell_378,,,0.40580723
cell_379,,,0.53492314
cell_380,0.048941746,,
cell_381,0.12144422,,
cell_382,,,0.33030516
cell_383,,0.7964852,
cell_384,,,0.43927437
cell_385,,0.8961895,
cell_386,0.0586316,,
cell_387,0.049970135,,
cell_388,,,0.24466379
cell_389,0.004414194,,
cell_390,,,0.3244504
cell_391,,0.87412107,
cell_392,,0.9194124,
cell_393,,0.7855413,
cell_394,,,0.45015517
cell_395,0.17274778,,
cell_396,,,0.51856136
cell_397,,,0.26007894
cell_398,,0.95292246,
cell_399,,,0.48923934
cell_400,,,0.41989574
cell_401,,,0.6117798
cell_402,,0.81187475,
cell_403,0.18059069,,
cell_404,,0.9413933,
cell_405,,0.9446471,
cell_406,0.11921298,,
cell_407,0.060697902,,
cell_408,,0.92478144,
cell_409,,,0.61393845
cell_410,,0.9606363,
cell_411,0.012953393,,
cell_412,,,0.4166344
cell_413,,,0.6318826
cell_414,0.21538745,,
cell_415,,,0.43145877
cell_416,0.076382026,,
cell_417,0.13339692,,
cell_418,,0.91817725,
cell_419,,,0.47204012
cell_420,,,0.55345184
cell_421,,,0.5762004
cell_422,0.05936979,,
cell_423,0.066311456,,
cell_424,,,0.5017289
cell_425,,,0.49835485
cell_426,0.054724466,,
cell_427,,0.91671145,
cell_428,0.072166555,,
cell_429,,,0.5468045
cell_430,,,0.37171063
cell_431,,,0.23964734
cell_432,0.13147114,,
cell_433,,0.9550544,
cell_434,0.05522084,,
cell_435,,,0.35109168
cell_436,,,0.47510362
cell_437,0.056813296,,
cell_438,,,0.61494476
cell_439,0.01890912,,
cell_440,,,0.5635091
cell_441,0.20535995,,
cell_442,,0.91971874,
cell_443,,0.96873885,
cell_444,,0.9106846,
cell_445,,,0.6803389
cell_446,,,0.24660543
cell_447,,,0.2568688
cell_448,,,0.6020635
cell_449,,0.9491551,
cell_450,0.18961965,,
cell_451,,,0.5855939
cell_452,0.17300285,,
cell_453,,,0.23605096
cell_454,,,0.57295585
cell_455,,0.8589074,
cell_456,,0.87936276,
cell_457,,,0.32036388
cell_458,,,0.3939354
cell_459,,0.9240433,
cell_460,,,0.56019795
cell_461,,0.9462236,
cell_462,0.18187214,,
cell_463,,,0.24134023
cell_464,0.049880188,,
cell_465,0.058020618,,
cell_466,,,0.6118237
cell_467,,0.871706,
cell_468,0.16591467,,
cell_469,,0.9884196,
cell_470,,,0.41696942
cell_471,0.16689579,,
cell_472,,0.84322375,
cell_473,,,0.54815
cell_474,,0.91523916,
cell_475,0.19411227,,
cell_476,,0.94469076,
cell_477,0.05112364,,
cell_478,0.16788276,,
cell_479,0.01641743,,
cell_480,,0.85558677,
cell_481,0.014426074,,
cell_482,0.037732445,,
cell_483,,0.9204077,
cell_484,,0.97047,
cell_485,,,0.55466026
cell_486,0.09457505,,
cell_487,0.055232193,,
cell_488,,,0.5697743
cell_489,,0.8175036,
cell_490,,,0.4491908
cell_491,,0.93178207,
cell_492,,0.83251864,
cell_493,0.031364497,,
cell_494,0.065213546,,
cell_495,,,0.59141
cell_496,,,0.48352566
cell_497,0.12385561,,
cell_498,,,0.67523134
cell_499,,0.7800321,
cell_500,,0.9216603,
cell_501,0.015964037,,
cell_502,,0.8027812,
cell_503,0.068753086,,
cell_504,,,0.24599905
cell_505,,,0.62991565
cell_506,,,0.24921644
cell_507,0.051497295,,
cell_508,,0.7561094,
cell_509,,0.88591474,
cell_510,0.031723317,,
cell_511,,,0.56351435
cell_512,,,0.65124744
cell_513,0.028320262,,
cell_514,0.18946554,,
cell_515,0.038297866,,
cell_516,,0.8950873,
cell_517,,0.85651976,
cell_518,0.047332294,,
cell_519,,0.91803443,
cell_520,,,0.18475711
cell_521,,0.8065752,
cell_522,0.16953695,,
cell_523,,,0.32205495
cell_524,0.16694655,,
cell_525,,,0.6163032
cell_526,0.027016567,,
cell_527,0.03386612,,
cell_528,,,0.26036662
cell_529,,0.82937485,
cell_530,,,0.60047233
cell_531,,,0.4392327
cell_532,0.068619445,,
cell_533,0.059857823,,
cell_534,,0.8579888,
cell_535,0.11862196,,
cell_536,,,0.43091762
cell_537,0.20892233,,
cell_538,0.056690715,,
cell_539,0.07872839,,
cell_540,0.08015273,,
cell_541,0.05262685,,
cell_542,0.029488994,,
cell_543,,,0.47981432
cell_544,0.16188599,,
cell_545,0.08867227,,
cell_546,,,0.33794317
cell_547,,,0.47032097
cell_548,,,0.43918157
cell_549,0.07836913,,
cell_550,,0.95945996,
cell_551,,,0.74586874
cell_552,0.16037816,,
cell_553,,0.914544,
cell_554,0.15131187,,
cell_555,,0.913032,
cell_556,,0.7986983,
cell_557,,0.83714336,
cell_558,,0.88572496,
cell_559,,0.9273571,
cell_560,0.21741866,,
cell_561,0.06902383,,
cell_562,,0.8718881,
cell_563,,,0.47867677
cell_564,0.046466693,,
cell_565,,0.81129247,
cell_566,,,0.5053112
cell_567,0.1129545,,
cell_568,,0.96206665,
cell_569,0.011807905,,
cell_570,,0.92276907,
cell_571,0.024622235,,
cell_572,,0.94584644,
cell_573,,,0.24451222
cell_574,,,0.35407692
cell_575,,,0.2257724
cell_576,,0.87198967,
cell_577,,0.91153556,
cell_578,,0.80689096,
cell_579,,,0.6021382
cell_580,,0.8981845,
cell_581,0.027562514,,
cell_582,0.0170828,,
cell_583,,0.95176333,
cell_584,,0.9006388,
cell_585,,0.99843514,
cell_586,0.19926298,,
cell_587,,0.93895406,
cell_588,0.123004824,,
cell_589,,0.9451517,
cell_590,,,0.40192795
cell_591,0.12279915,,
cell_592,0.049300574,,
cell_593,0.021885432,,
cell_594,,0.93692684,
cell_595,,,0.58175504
cell_596,,0.86305004,
cell_597,0.015746173,,
cell_598,,0.8271685,
cell_599,,0.8246536,
cell_600,,0.8984752,
cell_601,,,0.46453577
cell_602,,,0.2768232
cell_603,,,0.48545492
cell_604,,,0.34056133
cell_605,,,0.62820107
cell_606,,,0.4074307
cell_607,,,0.4652071
cell_608,0.17726426,,
cell_609,0.055123296,,
cell_610,,0.9977404,
cell_611,,0.9054549,
cell_612,,,0.59810805
cell_613,,,0.3979886
cell_614,0.011586152,,
cell_615,,,0.6154424
cell_616,,,0.60031843
cell_617,,0.9270682,
cell_618,,0.9189451,
cell_619,0.022689657,,
cell_620,,,0.42562163
cell_621,,,0.57224786
cell_622,0.20207061,,
cell_623,,,0.57400984
cell_624,,0.86809903,
cell_625,,0.81145465,
cell_626,,,0.31299853
cell_627,,,0.44718537
cell_628,0.013169491,,
cell_629,,0.9489328,
cell_630,,,0.60111606
cell_631,0.21134706,,
cell_632,,0.9701439,
cell_633,,0.96021175,
cell_634,,,0.56235826
cell_635,,,0.31755573
cell_636,,,0.26930755
cell_637,0.03628363,,
cell_638,0.05496027,,
cell_639,0.022663953,,
cell_640,0.07323522,,
cell_641,0.095304206,,
cell_642,0.20167044,,
cell_643,,,0.43889537
cell_644,,,0.24426165
cell_645,,0.9055673,
cell_646,0.0643327,,
cell_647,,,0.53821874
cell_648,,0.91634214,
cell_649,,0.8366183,
cell_650,0.0051964754,,
cell_651,0.055317134,,
cell_652,0.07245791,,
cell_653,,,0.27065858
cell_654,,0.8743939,
cell_655,0.11150569,,
cell_656,0.12280497,,
cell_657,,,0.24837033
cell_658,,0.8786017,
cell_659,0.025215099,,
cell_660,,,0.39693725
cell_661,,0.91496587,
cell_662,,,0.46014956
cell_663,,0.94211566,
cell_664,,0.91735464,
cell_665,,,0.63756377
cell_666,0.12734292,,
cell_667,,0.82451236,
cell_668,0.16251299,,
cell_669,,0.82620174,
cell_670,,,0.439051
cell_671,0.047893334,,
cell_672,0.032767,,
cell_673,,,0.495867
cell_674,,,0.60080975
cell_675,,,0.39011112
cell_676,,0.9003161,
cell_677,0.12849508,,
cell_678,,,0.49972013
cell_679,,,0.6476492
cell_680,,0.89145356,
cell_681,0.027020305,,
