,pseudotime0,pseudotime1,pseudotime2
cell_1347,0.16643776,,
cell_1348,,,0.24946244
cell_1349,0.19847907,,
cell_1350,0.17062266,,
cell_1351,0.057990532,,
cell_1352,,,0.6545266
cell_1353,0.18415974,,
cell_1354,,0.86010045,
cell_1355,0.068247326,,
cell_1356,0.15679057,,
cell_1357,,0.78414667,
cell_1358,0.15083559,,
cell_1359,,,0.3055394
cell_1360,,,0.28228426
cell_1361,,,0.39065057
cell_1362,,,0.37580442
cell_1363,,,0.2862294
cell_1364,0.19405577,,
cell_1365,,,0.54051
cell_1366,0.021051627,,
cell_1367,0.15595089,,
cell_1368,0.16110158,,
cell_1369,,,0.6434981
cell_1370,,0.93916166,
cell_1371,0.056224037,,
cell_1372,0.026791383,,
cell_1373,,,0.5615887
cell_1374,,0.7683592,
cell_1375,,0.890411,
cell_1376,,0.80094564,
cell_1377,,0.7978681,
cell_1378,,,0.62670964
cell_1379,0.01526701,,
cell_1380,0.16116616,,
cell_1381,,0.83151007,
cell_1382,0.12692142,,
cell_1383,0.018715201,,
cell_1384,,0.9316542,
cell_1385,,,0.36803752
cell_1386,0.07949858,,
cell_1387,0.040307146,,
cell_1388,,,0.47986284
cell_1389,,,0.2612354
cell_1390,,0.8067906,
cell_1391,,,0.7150178
cell_1392,,,0.61744833
cell_1393,0.06200049,,
cell_1394,0.056625836,,
cell_1395,0.054245237,,
cell_1396,0.01773093,,
cell_1397,,,0.56399494
cell_1398,,0.9239586,
cell_1399,0.1217309,,
cell_1400,0.084540635,,
cell_1401,,,0.46071386
cell_1402,,,0.5857105
cell_1403,,,0.45130736
cell_1404,0.22260307,,
cell_1405,,,0.48684722
cell_1406,0.12344155,,
cell_1407,,,0.64802784
cell_1408,,,0.27454838
cell_1409,,0.8794788,
cell_1410,,0.96325123,
cell_1411,0.21337382,,
cell_1412,,,0.34721702
cell_1413,,0.95017624,
cell_1414,,0.93037957,
cell_1415,,0.92818516,
cell_1416,,0.8371413,
cell_1417,0.049411785,,
cell_1418,,0.9581052,
cell_1419,,0.8480601,
cell_1420,,0.9718981,
cell_1421,,0.967142,
cell_1422,,0.7941249,
cell_1423,,0.7487352,
cell_1424,,,0.41740385
cell_1425,,,0.57143956
cell_1426,0.04069654,,
cell_1427,,0.8098971,
cell_1428,,,0.48940447
cell_1429,,,0.5937655
cell_1430,,,0.72471035
cell_1431,0.15887095,,
cell_1432,0.06086839,,
cell_1433,,0.9602908,
cell_1434,,0.775361,
cell_1435,,,0.4947342
cell_1436,0.08831238,,
cell_1437,,0.79708165,
cell_1438,0.052172046,,
cell_1439,,,0.440744
cell_1440,,,0.4440242
cell_1441,0.05142899,,
cell_1442,,0.95975244,
cell_1443,,,0.3501527
cell_1444,,0.9115212,
cell_1445,0.18324272,,
cell_1446,0.19220327,,
cell_1447,,0.9731168,
cell_1448,,,0.36373615
cell_1449,,,0.5153389
cell_1450,,,0.42157966
cell_1451,0.18202913,,
cell_1452,0.051751465,,
cell_1453,,0.9571648,
cell_1454,,,0.4455382
cell_1455,,0.8083541,
cell_1456,,0.93005043,
cell_1457,0.19001892,,
cell_1458,,,0.423827
cell_1459,0.088370316,,
cell_1460,,,0.3413579
cell_1461,,,0.26658472
cell_1462,,0.8677403,
cell_1463,,0.84924865,
cell_1464,0.0045672427,,
cell_1465,,0.88989043,
cell_1466,,,0.3654967
cell_1467,,,0.28714365
cell_1468,0.09442734,,
cell_1469,0.0022876665,,
cell_1470,0.014101192,,
cell_1471,0.12719414,,
cell_1472,,0.9428645,
cell_1473,,0.869802,
cell_1474,0.015985116,,
cell_1475,,,0.34416008
cell_1476,0.03057007,,
cell_1477,,0.8150058,
cell_1478,,,0.29262367
cell_1479,0.052861866,,
cell_1480,,,0.6637159
cell_1481,,0.87441456,
cell_1482,,,0.28592524
cell_1483,,0.97370833,
cell_1484,,0.77051693,
cell_1485,0.19661511,,
cell_1486,,0.8444634,
cell_1487,,0.8665134,
cell_1488,0.037133556,,
cell_1489,,,0.5892805
cell_1490,0.047112677,,
cell_1491,0.050742388,,
cell_1492,0.13141261,,
cell_1493,0.065204956,,
cell_1494,,0.8686792,
cell_1495,,0.8524711,
cell_1496,0.03121843,,
cell_1497,,0.8204374,
cell_1498,,,0.23708113
cell_1499,,0.93214303,
cell_1500,,0.8721148,
cell_1501,,,0.5855283
cell_1502,0.039597925,,
cell_1503,0.020516897,,
cell_1504,,0.9292722,
cell_1505,,0.91796136,
cell_1506,,0.80558306,
cell_1507,,,0.23866642
cell_1508,0.10402061,,
cell_1509,,,0.4357514
cell_1510,,0.92625207,
cell_1511,,,0.70349103
cell_1512,0.05134794,,
cell_1513,,0.73442775,
cell_1514,0.12959313,,
cell_1515,,0.91820604,
cell_1516,,,0.47706178
cell_1517,0.04708762,,
cell_1518,,,0.42534944
cell_1519,,0.8903039,
cell_1520,,0.9320865,
cell_1521,0.034907266,,
cell_1522,,0.82962364,
cell_1523,,0.92658097,
cell_1524,0.014241056,,
cell_1525,,0.8542059,
cell_1526,,0.79233515,
cell_1527,,0.84747905,
cell_1528,,0.7658631,
cell_1529,,0.86462104,
cell_1530,,,0.5915355
cell_1531,0.17412412,,
cell_1532,,0.8900734,
cell_1533,,,0.4735198
cell_1534,,0.9314763,
cell_1535,0.030317724,,
cell_1536,0.04153545,,
cell_1537,,,0.22265714
cell_1538,,0.9538255,
cell_1539,,,0.24399409
cell_1540,0.07001197,,
cell_1541,,0.8231333,
cell_1542,,0.8291582,
cell_1543,,,0.4000165
cell_1544,0.12195002,,
cell_1545,,0.87772864,
cell_1546,0.17569089,,
cell_1547,,,0.41329873
cell_1548,0.026935564,,
cell_1549,0.117999874,,
cell_1550,,,0.5565479
cell_1551,0.12731671,,
cell_1552,,,0.68734014
cell_1553,,,0.4679982
cell_1554,,,0.2997223
cell_1555,0.047728285,,
cell_1556,,0.8816076,
cell_1557,0.17713527,,
cell_1558,,0.8164761,
cell_1559,0.034586165,,
cell_1560,,0.7995943,
cell_1561,,,0.55747503
cell_1562,,0.8909296,
cell_1563,,,0.6590496
cell_1564,0.009988375,,
cell_1565,,,0.45477554
cell_1566,,0.91279376,
cell_1567,,0.7684612,
cell_1568,0.06119052,,
cell_1569,0.027003786,,
cell_1570,0.20574397,,
cell_1571,,0.9217443,
cell_1572,,0.79891163,
cell_1573,,0.787669,
cell_1574,0.06938904,,
cell_1575,,,0.32983223
cell_1576,,,0.5478456
cell_1577,0.02770519,,
cell_1578,0.1483133,,
cell_1579,,0.81539583,
cell_1580,0.021128377,,
cell_1581,0.11732719,,
cell_1582,,0.8125426,
cell_1583,,0.79082596,
cell_1584,,,0.39464268
cell_1585,0.011209606,,
cell_1586,,,0.4658791
cell_1587,,,0.34635258
cell_1588,,,0.49427426
cell_1589,,,0.41888285
cell_1590,,,0.25036404
cell_1591,,0.92400837,
cell_1592,,0.9626514,
cell_1593,0.049626894,,
cell_1594,0.01701735,,
cell_1595,0.06450031,,
cell_1596,,,0.7312233
cell_1597,0.00907289,,
cell_1598,,0.94796175,
cell_1599,,,0.5128765
cell_1600,0.09255218,,
cell_1601,0.11976002,,
cell_1602,0.06355624,,
cell_1603,0.10242227,,
cell_1604,0.01880451,,
cell_1605,,,0.6317765
cell_1606,0.106077835,,
cell_1607,0.06618873,,
cell_1608,,,0.6071336
cell_1609,0.06052819,,
cell_1610,,0.8067052,
cell_1611,,0.7879095,
cell_1612,,0.8806323,
cell_1613,,0.9205204,
cell_1614,,,0.26334104
cell_1615,,0.8507647,
cell_1616,,,0.6127876
cell_1617,0.05941063,,
cell_1618,,,0.33810493
cell_1619,,,0.33413696
cell_1620,0.030567845,,
cell_1621,,0.9465211,
cell_1622,0.16352908,,
cell_1623,0.020614285,,
cell_1624,,,0.23363595
cell_1625,,0.822717,
cell_1626,,,0.34841135
cell_1627,,,0.33319548
cell_1628,,,0.4774593
cell_1629,,,0.4806227
cell_1630,,0.8834812,
cell_1631,0.073405676,,
cell_1632,,0.9501863,
cell_1633,0.0488907,,
cell_1634,,,0.48807433
cell_1635,0.053900488,,
cell_1636,,,0.463508
cell_1637,0.05614677,,
cell_1638,,,0.6360357
cell_1639,,0.9407847,
cell_1640,,0.95997566,
cell_1641,0.056168713,,
cell_1642,0.18563873,,
cell_1643,,0.91328627,
cell_1644,,,0.24592371
cell_1645,,,0.52887046
cell_1646,,,0.6698693
cell_1647,,,0.6191404
cell_1648,,0.7908356,
cell_1649,,0.82037115,
cell_1650,0.23055585,,
cell_1651,,,0.64247954
cell_1652,0.07005992,,
cell_1653,,,0.64088076
cell_1654,0.056410503,,
cell_1655,,,0.4395566
cell_1656,,0.82766867,
cell_1657,0.0323035,,
cell_1658,0.071912505,,
cell_1659,0.21610348,,
cell_1660,0.018311573,,
cell_1661,,,0.39742362
cell_1662,,0.8282729,
cell_1663,0.12884392,,
cell_1664,,0.8557528,
cell_1665,0.21967243,,
cell_1666,0.22113103,,
cell_1667,,,0.3605555
cell_1668,,0.93177503,
cell_1669,0.12433447,,
cell_1670,,,0.34269196
cell_1671,,0.9168362,
cell_1672,0.010291886,,
cell_1673,,,0.2647954
cell_1674,0.012010984,,
cell_1675,,,0.49492326
cell_1676,,0.9302525,
cell_1677,0.05222298,,
cell_1678,,0.8371637,
cell_1679,,0.88933355,
cell_1680,,0.9875547,
cell_1681,0.00844003,,
cell_1682,0.072212845,,
cell_1683,,,0.63119984
cell_1684,0.18700315,,
cell_1685,,0.7959769,
cell_1686,,0.9671759,
cell_1687,,0.93152034,
cell_1688,0.0765718,,
cell_1689,0.12582614,,
cell_1690,0.064870626,,
cell_1691,0.07017127,,
cell_1692,,,0.44495848
cell_1693,,0.9460802,
cell_1694,,0.86680406,
cell_1695,,,0.49976248
cell_1696,,0.9225141,
cell_1697,,0.8444058,
cell_1698,,0.8394882,
cell_1699,,,0.5760859
cell_1700,0.045500055,,
cell_1701,,,0.455169
cell_1702,0.056574147,,
cell_1703,,0.8504259,
cell_1704,,0.878376,
cell_1705,0.19971365,,
cell_1706,,0.90679556,
cell_1707,0.053512927,,
cell_1708,,,0.2752808
cell_1709,,,0.62565786
cell_1710,0.02514474,,
cell_1711,,,0.56304306
cell_1712,,,0.32455054
cell_1713,,,0.4707911
cell_1714,0.14271906,,
cell_1715,,,0.45379254
cell_1716,0.029025113,,
cell_1717,,,0.44064087
cell_1718,0.05521395,,
cell_1719,,,0.427879
cell_1720,0.04995501,,
cell_1721,0.10235473,,
cell_1722,,0.93646306,
cell_1723,0.13483971,,
cell_1724,,,0.36637852
cell_1725,,,0.62720495
cell_1726,,,0.24026987
cell_1727,0.17473869,,
cell_1728,,0.8242115,
cell_1729,,,0.59117335
cell_1730,,,0.45614496
cell_1731,0.044967286,,
cell_1732,,,0.3346657
cell_1733,,,0.21438633
cell_1734,,,0.6207455
cell_1735,,,0.5406976
cell_1736,0.21093291,,
cell_1737,0.058568783,,
cell_1738,0.031804327,,
cell_1739,0.12347247,,
cell_1740,,0.93598115,
cell_1741,,,0.33231887
cell_1742,,0.8902652,
cell_1743,,,0.4996496
cell_1744,,0.9562905,
cell_1745,,,0.57921445
cell_1746,0.057089508,,
cell_1747,,,0.2676876
cell_1748,,,0.30874202
cell_1749,0.21748726,,
cell_1750,,,0.6378586
cell_1751,0.19614011,,
cell_1752,,0.7906229,
cell_1753,0.1778838,,
cell_1754,,0.86219674,
cell_1755,,0.8815122,
cell_1756,,0.8722469,
cell_1757,0.2161766,,
cell_1758,,0.8077615,
cell_1759,,0.9076273,
cell_1760,,,0.47000036
cell_1761,,0.8635625,
cell_1762,0.0526398,,
cell_1763,,,0.4569112
cell_1764,,0.8062288,
cell_1765,0.061151415,,
cell_1766,0.054182824,,
cell_1767,,0.8916182,
cell_1768,,,0.45734403
cell_1769,,,0.4749791
cell_1770,,0.91260093,
cell_1771,,,0.26255688
cell_1772,,,0.33734494
cell_1773,,0.9084508,
cell_1774,,,0.6496963
cell_1775,0.032926727,,
cell_1776,,0.8798341,
cell_1777,0.22523358,,
cell_1778,,0.86293334,
cell_1779,0.1095097,,
cell_1780,,,0.34817427
cell_1781,,,0.37492654
cell_1782,,0.94453406,
cell_1783,,,0.61768776
cell_1784,,0.94290584,
cell_1785,,0.95640326,
cell_1786,0.019535637,,
cell_1787,0.10992384,,
cell_1788,,,0.6351958
cell_1789,0.20777655,,
cell_1790,,,0.33261883
cell_1791,0.04050163,,
cell_1792,,0.9994129,
cell_1793,,,0.41957408
cell_1794,,0.9373992,
cell_1795,0.1375891,,
cell_1796,,0.94017166,
cell_1797,,0.76531625,
cell_1798,,,0.58318335
cell_1799,0.058133636,,
cell_1800,,,0.39289764
cell_1801,0.21071194,,
cell_1802,,0.8600338,
cell_1803,,0.84907657,
cell_1804,,0.83836794,
cell_1805,,,0.46884668
cell_1806,0.12690341,,
cell_1807,,,0.6728821
cell_1808,0.048013475,,
cell_1809,0.014336548,,
cell_1810,0.12799795,,
cell_1811,,0.83095616,
cell_1812,,,0.53423065
cell_1813,,0.83994114,
cell_1814,,0.81138366,
cell_1815,,,0.25496605
cell_1816,0.16807085,,
cell_1817,0.016669111,,
cell_1818,,,0.37553817
cell_1819,0.20288609,,
cell_1820,0.05715786,,
cell_1821,,0.91721463,
cell_1822,0.060553104,,
cell_1823,,,0.2535533
cell_1824,,0.93937874,
cell_1825,0.05413153,,
cell_1826,0.07411477,,
cell_1827,0.035064835,,
cell_1828,0.050413985,,
cell_1829,,,0.3382849
cell_1830,0.018779095,,
cell_1831,,,0.42036542
cell_1832,0.047816362,,
cell_1833,0.09629176,,
cell_1834,,0.83839446,
cell_1835,,0.8358765,
cell_1836,,,0.5915416
cell_1837,,,0.24952115
cell_1838,,,0.71751523
cell_1839,,,0.35089564
cell_1840,0.014486481,,
cell_1841,,0.9132484,
cell_1842,,0.8340019,
cell_1843,0.04652057,,
cell_1844,,,0.31451404
cell_1845,0.19913024,,
cell_1846,,,0.45279032
cell_1847,,0.78348136,
cell_1848,,0.9510891,
cell_1849,,0.80459744,
cell_1850,,,0.2541803
cell_1851,,,0.48463598
cell_1852,,,0.5534325
cell_1853,,,0.27147186
cell_1854,0.05347217,,
cell_1855,,0.9353835,
cell_1856,0.16954106,,
cell_1857,,0.90265834,
cell_1858,0.015989441,,
cell_1859,,0.9031068,
cell_1860,,0.91323346,
cell_1861,0.055290226,,
cell_1862,0.16729061,,
cell_1863,,,0.61486197
cell_1864,,,0.3182523
cell_1865,0.06305254,,
cell_1866,0.12804215,,
cell_1867,,,0.4461852
cell_1868,,0.8411845,
cell_1869,,0.884866,
cell_1870,0.013040168,,
cell_1871,0.039447412,,
cell_1872,,0.9326802,
cell_1873,,,0.5502765
cell_1874,0.22010104,,
cell_1875,,0.93354976,
cell_1876,,0.77606684,
cell_1877,,,0.28416386
cell_1878,,,0.6288546
cell_1879,,0.8381678,
cell_1880,,0.83132136,
cell_1881,,0.7452695,
cell_1882,,0.84815,
cell_1883,,0.78536403,
cell_1884,0.20385171,,
cell_1885,,0.9272693,
cell_1886,,0.9502879,
cell_1887,,,0.6136094
cell_1888,,,0.3609286
cell_1889,,0.74159557,
cell_1890,,0.8810943,
cell_1891,0.06413664,,
cell_1892,,,0.59919375
cell_1893,,,0.33621773
cell_1894,,0.86156756,
cell_1895,,0.8968805,
cell_1896,,0.9069476,
cell_1897,0.16121957,,
cell_1898,,,0.5325509
cell_1899,0.02837848,,
cell_1900,0.025893964,,
cell_1901,,0.8211066,
cell_1902,,,0.4507951
cell_1903,0.1303132,,
cell_1904,,0.81660926,
cell_1905,0.12080878,,
cell_1906,,,0.6122165
cell_1907,0.020066231,,
cell_1908,,,0.25566188
cell_1909,,,0.555982
cell_1910,,0.86394054,
cell_1911,,0.868058,
cell_1912,,0.88658535,
cell_1913,,,0.39595667
cell_1914,,,0.24053335
cell_1915,,0.98049647,
cell_1916,,,0.5594013
cell_1917,0.03912558,,
cell_1918,,,0.62003285
cell_1919,,0.90476835,
cell_1920,,0.8508467,
cell_1921,,,0.49211445
cell_1922,0.04620649,,
cell_1923,,,0.7026583
cell_1924,0.1978535,,
cell_1925,,,0.49617374
cell_1926,,,0.45886672
cell_1927,,0.8347581,
cell_1928,,,0.5180907
cell_1929,,,0.6123848
cell_1930,0.055338535,,
cell_1931,,0.7909621,
cell_1932,,,0.6492724
cell_1933,0.11828862,,
cell_1934,0.05470172,,
cell_1935,0.18428054,,
cell_1936,,0.91129637,
cell_1937,,0.8727699,
cell_1938,0.0074104485,,
cell_1939,,0.9323763,
cell_1940,,0.8953703,
cell_1941,,0.9640864,
cell_1942,,,0.6767011
cell_1943,,0.805012,
cell_1944,,,0.3879901
cell_1945,0.014462994,,
cell_1946,0.04400091,,
cell_1947,,,0.58866835
cell_1948,0.055213805,,
cell_1949,0.023005193,,
cell_1950,0.016107125,,
cell_1951,0.037615158,,
cell_1952,0.2181672,,
cell_1953,,,0.3216373
cell_1954,,,0.5841547
cell_1955,0.21985622,,
cell_1956,0.019544836,,
cell_1957,,0.8230836,
cell_1958,,0.92042136,
cell_1959,,0.8514621,
cell_1960,,0.9355722,
cell_1961,,,0.511505
cell_1962,0.03232182,,
cell_1963,0.054910764,,
cell_1964,0.17485484,,
cell_1965,,0.9229266,
cell_1966,0.047924064,,
cell_1967,,0.8054809,
cell_1968,,,0.35560575
cell_1969,,,0.67268324
cell_1970,0.19410749,,
cell_1971,,,0.21529189
cell_1972,0.04365173,,
cell_1973,0.020168986,,
cell_1974,0.0686624,,
cell_1975,0.10005541,,
cell_1976,,,0.47148275
cell_1977,,,0.27241686
cell_1978,0.02482249,,
cell_1979,,0.8778649,
cell_1980,,,0.48603845
cell_1981,,,0.50004256
cell_1982,,0.8167206,
cell_1983,,,0.59894997
cell_1984,0.14801699,,
cell_1985,,0.8064567,
cell_1986,0.064319044,,
cell_1987,,0.8502606,
cell_1988,,0.949627,
cell_1989,0.080317765,,
cell_1990,0.062749274,,
cell_1991,,,0.53311986
cell_1992,0.053219654,,
cell_1993,0.0375458,,
cell_1994,0.049075864,,
cell_1995,,,0.34818164
cell_1996,,0.91793984,
cell_1997,,0.8896115,
cell_1998,,0.9207525,
cell_1999,,,0.48017442
