,pseudotime0,pseudotime1,pseudotime2,pseudotime3
cell_1347,0.57044566,,,
cell_1348,0.3699012,,,
cell_1349,0.6834916,,,
cell_1350,,0.121405706,,
cell_1351,,0.16584805,,
cell_1352,,0.09553727,,
cell_1353,0.5246851,,,
cell_1354,,,0.5057797,
cell_1355,0.6533712,,,
cell_1356,,,,0.82185614
cell_1357,0.6981835,,,
cell_1358,,0.06541323,,
cell_1359,,,,0.82142466
cell_1360,,0.05895897,,
cell_1361,,0.1494894,,
cell_1362,,0.1558323,,
cell_1363,0.69244033,,,
cell_1364,0.6421415,,,
cell_1365,0.39922345,,,
cell_1366,0.65886706,,,
cell_1367,,,0.47766346,
cell_1368,,,0.44150499,
cell_1369,,,0.4980173,
cell_1370,0.6499532,,,
cell_1371,,,,0.8666958
cell_1372,0.69262064,,,
cell_1373,0.71180254,,,
cell_1374,,,0.47650698,
cell_1375,,,0.4965863,
cell_1376,0.6810025,,,
cell_1377,,0.07991429,,
cell_1378,,,,0.4329561
cell_1379,0.7117596,,,
cell_1380,,0.14135838,,
cell_1381,,0.18438858,,
cell_1382,0.64736146,,,
cell_1383,,,0.48466876,
cell_1384,0.58219975,,,
cell_1385,,,0.4948153,
cell_1386,,0.104440786,,
cell_1387,0.7159886,,,
cell_1388,,,,0.89938617
cell_1389,,0.14705141,,
cell_1390,0.40881667,,,
cell_1391,0.5849983,,,
cell_1392,0.4466028,,,
cell_1393,,,0.32539135,
cell_1394,0.63211685,,,
cell_1395,0.66340625,,,
cell_1396,0.617443,,,
cell_1397,0.6961195,,,
cell_1398,0.41996258,,,
cell_1399,0.7239275,,,
cell_1400,0.6471548,,,
cell_1401,0.6673323,,,
cell_1402,,,0.4715286,
cell_1403,,,0.38006353,
cell_1404,,0.24640848,,
cell_1405,0.5324203,,,
cell_1406,,0.05227026,,
cell_1407,,0.07674692,,
cell_1408,0.6651666,,,
cell_1409,,,0.46314362,
cell_1410,,,,0.6346297
cell_1411,0.64905655,,,
cell_1412,0.23251171,,,
cell_1413,0.6550689,,,
cell_1414,,0.04745955,,
cell_1415,0.7243018,,,
cell_1416,0.63328063,,,
cell_1417,,0.046666745,,
cell_1418,0.37004015,,,
cell_1419,,0.060323115,,
cell_1420,,,,0.6486387
cell_1421,,,0.55083466,
cell_1422,0.65019304,,,
cell_1423,,,0.45954993,
cell_1424,,0.027993381,,
cell_1425,,,0.33717015,
cell_1426,0.58493316,,,
cell_1427,0.45008633,,,
cell_1428,0.6981391,,,
cell_1429,,0.031898882,,
cell_1430,,0.038018987,,
cell_1431,,,,0.82382554
cell_1432,0.6622306,,,
cell_1433,,,0.501982,
cell_1434,,0.03273648,,
cell_1435,0.621048,,,
cell_1436,0.44276127,,,
cell_1437,,,,0.451392
cell_1438,0.6482427,,,
cell_1439,,,,0.5798517
cell_1440,,0.0922328,,
cell_1441,0.6306901,,,
cell_1442,0.46605182,,,
cell_1443,,,,0.9435431
cell_1444,,0.11622734,,
cell_1445,0.6726476,,,
cell_1446,0.60790384,,,
cell_1447,0.6559759,,,
cell_1448,0.5691379,,,
cell_1449,,0.18759969,,
cell_1450,,,,0.3983993
cell_1451,0.64372104,,,
cell_1452,0.71074486,,,
cell_1453,,0.1713775,,
cell_1454,,,0.39212856,
cell_1455,0.6356802,,,
cell_1456,0.42987496,,,
cell_1457,0.69128156,,,
cell_1458,,,,0.75882435
cell_1459,0.6339236,,,
cell_1460,,,0.48133323,
cell_1461,0.55046606,,,
cell_1462,,,0.39907587,
cell_1463,,0.101972975,,
cell_1464,0.3845866,,,
cell_1465,0.5415098,,,
cell_1466,,0.18973935,,
cell_1467,0.652447,,,
cell_1468,,,0.44641358,
cell_1469,,0.042969923,,
cell_1470,0.5649684,,,
cell_1471,0.66789806,,,
cell_1472,,0.10203237,,
cell_1473,0.54713076,,,
cell_1474,0.67603415,,,
cell_1475,,0.058296748,,
cell_1476,0.6387881,,,
cell_1477,0.53725195,,,
cell_1478,0.6901995,,,
cell_1479,,,,0.6732502
cell_1480,0.69824046,,,
cell_1481,0.6249289,,,
cell_1482,0.6211273,,,
cell_1483,0.30493414,,,
cell_1484,0.6353735,,,
cell_1485,,,0.5251781,
cell_1486,0.33855012,,,
cell_1487,,0.2243956,,
cell_1488,,,0.45852754,
cell_1489,,,,0.4023912
cell_1490,0.6931628,,,
cell_1491,,0.08920037,,
cell_1492,,,,0.4387093
cell_1493,0.66998285,,,
cell_1494,,,0.44597965,
cell_1495,,,0.53100455,
cell_1496,,0.038224455,,
cell_1497,0.34757447,,,
cell_1498,0.64494777,,,
cell_1499,0.67022324,,,
cell_1500,,,0.43305364,
cell_1501,0.6760396,,,
cell_1502,0.40579528,,,
cell_1503,0.5632713,,,
cell_1504,,0.07290258,,
cell_1505,0.5989222,,,
cell_1506,0.6552341,,,
cell_1507,,0.027930064,,
cell_1508,0.5700525,,,
cell_1509,,0.26230797,,
cell_1510,,0.030590298,,
cell_1511,,0.087739445,,
cell_1512,,,0.44846743,
cell_1513,,0.12635025,,
cell_1514,0.5288663,,,
cell_1515,0.52766645,,,
cell_1516,,,,0.848562
cell_1517,0.6373335,,,
cell_1518,0.3981034,,,
cell_1519,0.59647113,,,
cell_1520,,,,0.8450492
cell_1521,0.7125341,,,
cell_1522,0.3671026,,,
cell_1523,0.69347817,,,
cell_1524,,0.17930336,,
cell_1525,,,,0.45981935
cell_1526,,0.060072444,,
cell_1527,,,0.42614722,
cell_1528,0.7161151,,,
cell_1529,0.6863937,,,
cell_1530,0.67475176,,,
cell_1531,,0.03833007,,
cell_1532,,0.051731102,,
cell_1533,,,0.4669934,
cell_1534,,,,0.78167874
cell_1535,0.6716239,,,
cell_1536,,,0.52277,
cell_1537,,,0.4270838,
cell_1538,,0.062815264,,
cell_1539,,0.19145313,,
cell_1540,,0.14814971,,
cell_1541,0.5742307,,,
cell_1542,,0.15102313,,
cell_1543,,,,0.3781986
cell_1544,0.64106786,,,
cell_1545,0.6124663,,,
cell_1546,,0.061105084,,
cell_1547,0.65692616,,,
cell_1548,,,0.4377816,
cell_1549,0.61217254,,,
cell_1550,0.5406815,,,
cell_1551,,0.085163064,,
cell_1552,0.67169905,,,
cell_1553,,,0.47731063,
cell_1554,,,0.5022384,
cell_1555,,0.027840672,,
cell_1556,,,,0.6943812
cell_1557,,,0.4300866,
cell_1558,0.46446574,,,
cell_1559,,0.09301531,,
cell_1560,0.6483609,,,
cell_1561,,0.10108895,,
cell_1562,0.36679742,,,
cell_1563,0.6633564,,,
cell_1564,,0.1685832,,
cell_1565,0.47932678,,,
cell_1566,,,0.52891135,
cell_1567,,,0.5576935,
cell_1568,,,0.51708484,
cell_1569,,,0.524222,
cell_1570,0.70241266,,,
cell_1571,0.52760047,,,
cell_1572,0.6619232,,,
cell_1573,0.6140722,,,
cell_1574,0.53616786,,,
cell_1575,,0.018352894,,
cell_1576,0.5680345,,,
cell_1577,0.49982423,,,
cell_1578,,,0.48168358,
cell_1579,,0.16636279,,
cell_1580,,,0.49187717,
cell_1581,0.57592386,,,
cell_1582,,,,0.62321097
cell_1583,0.48025668,,,
cell_1584,,,0.45148838,
cell_1585,,,,0.8256534
cell_1586,0.44142166,,,
cell_1587,0.56649,,,
cell_1588,0.73912215,,,
cell_1589,,0.029836684,,
cell_1590,0.59792274,,,
cell_1591,,,0.45475763,
cell_1592,,,0.5488526,
cell_1593,,0.1535788,,
cell_1594,,0.042195775,,
cell_1595,,,0.51653343,
cell_1596,0.4224783,,,
cell_1597,,,0.4363807,
cell_1598,,0.033308987,,
cell_1599,,0.08885969,,
cell_1600,,0.04628629,,
cell_1601,0.38653946,,,
cell_1602,0.6720443,,,
cell_1603,,0.0385439,,
cell_1604,,0.051323943,,
cell_1605,,0.19296762,,
cell_1606,,,0.45673844,
cell_1607,0.6093122,,,
cell_1608,,0.15757205,,
cell_1609,0.5352448,,,
cell_1610,,0.12901664,,
cell_1611,0.62972856,,,
cell_1612,,,0.44890565,
cell_1613,0.7243699,,,
cell_1614,,0.13542314,,
cell_1615,,,0.56048065,
cell_1616,,,,0.89999163
cell_1617,,,0.4790023,
cell_1618,,0.036833186,,
cell_1619,0.7048608,,,
cell_1620,,0.035433955,,
cell_1621,,,,0.9032612
cell_1622,0.5872184,,,
cell_1623,0.63322663,,,
cell_1624,0.67981213,,,
cell_1625,,,0.47024718,
cell_1626,,0.08488692,,
cell_1627,,0.27517325,,
cell_1628,0.6847726,,,
cell_1629,,0.0764247,,
cell_1630,,,,0.6022954
cell_1631,,,0.47225705,
cell_1632,,0.18529549,,
cell_1633,,,0.49517912,
cell_1634,0.6220233,,,
cell_1635,,0.17782144,,
cell_1636,,,,0.8775418
cell_1637,,0.07169429,,
cell_1638,0.62531203,,,
cell_1639,0.52027947,,,
cell_1640,,,,0.7625538
cell_1641,,,0.55149364,
cell_1642,,,0.40832177,
cell_1643,0.6110743,,,
cell_1644,,,,0.4222882
cell_1645,,,0.4830585,
cell_1646,,0.1708474,,
cell_1647,0.6292732,,,
cell_1648,,,,0.7811623
cell_1649,,0.036590494,,
cell_1650,,,0.4597932,
cell_1651,,0.19369042,,
cell_1652,,0.041460738,,
cell_1653,,0.08900818,,
cell_1654,,,0.49571,
cell_1655,,,0.45501098,
cell_1656,0.6983154,,,
cell_1657,0.51757646,,,
cell_1658,,,0.4518438,
cell_1659,,,0.45240065,
cell_1660,0.68043363,,,
cell_1661,,,0.32683718,
cell_1662,0.668391,,,
cell_1663,,0.19052164,,
cell_1664,0.6928685,,,
cell_1665,,,0.45325872,
cell_1666,0.70549923,,,
cell_1667,,,,0.9127869
cell_1668,,,0.4721519,
cell_1669,,,0.4384777,
cell_1670,,0.18953037,,
cell_1671,0.6667991,,,
cell_1672,,0.15994678,,
cell_1673,0.5948987,,,
cell_1674,0.3850913,,,
cell_1675,,0.092223644,,
cell_1676,0.6361698,,,
cell_1677,,,0.5519937,
cell_1678,0.6763344,,,
cell_1679,0.71573097,,,
cell_1680,,0.055529214,,
cell_1681,,,0.32993594,
cell_1682,0.43816933,,,
cell_1683,0.27185866,,,
cell_1684,0.66870314,,,
cell_1685,0.62498367,,,
cell_1686,,0.047435116,,
cell_1687,,,0.44666937,
cell_1688,0.60930675,,,
cell_1689,0.6588518,,,
cell_1690,0.65394336,,,
cell_1691,,,0.48675108,
cell_1692,0.22485226,,,
cell_1693,,0.18620089,,
cell_1694,,0.12540604,,
cell_1695,0.5565449,,,
cell_1696,,,,0.4933665
cell_1697,0.6861704,,,
cell_1698,0.6655805,,,
cell_1699,0.4280635,,,
cell_1700,,0.1677705,,
cell_1701,0.38292935,,,
cell_1702,0.6986354,,,
cell_1703,,0.18331528,,
cell_1704,,,0.49027377,
cell_1705,,0.2437098,,
cell_1706,0.686914,,,
cell_1707,0.7070677,,,
cell_1708,,0.17050362,,
cell_1709,,0.04346413,,
cell_1710,,,,0.9151751
cell_1711,0.6531993,,,
cell_1712,,,,0.64063674
cell_1713,0.40055507,,,
cell_1714,,0.037720095,,
cell_1715,,,0.5182632,
cell_1716,0.62521505,,,
cell_1717,0.6327254,,,
cell_1718,0.70434093,,,
cell_1719,,,0.46606657,
cell_1720,,,,0.43501544
cell_1721,,0.032544896,,
cell_1722,0.677193,,,
cell_1723,0.61566997,,,
cell_1724,,0.16411065,,
cell_1725,0.5925842,,,
cell_1726,0.39018115,,,
cell_1727,0.48471102,,,
cell_1728,0.6264028,,,
cell_1729,0.6555148,,,
cell_1730,,,0.47386715,
cell_1731,,0.25190333,,
cell_1732,,,0.5988112,
cell_1733,,,0.4267048,
cell_1734,,0.13438436,,
cell_1735,0.684124,,,
cell_1736,0.63852465,,,
cell_1737,0.6315206,,,
cell_1738,0.568804,,,
cell_1739,,,,0.84742826
cell_1740,,0.10613568,,
cell_1741,0.4003373,,,
cell_1742,,,0.45231882,
cell_1743,,,0.51338917,
cell_1744,,,,0.5383683
cell_1745,,,,0.47904322
cell_1746,,0.08163543,,
cell_1747,0.51044446,,,
cell_1748,0.6534528,,,
cell_1749,0.65767497,,,
cell_1750,0.6541594,,,
cell_1751,,,,0.68851227
cell_1752,,,0.45563585,
cell_1753,0.57248104,,,
cell_1754,0.6625894,,,
cell_1755,0.329475,,,
cell_1756,,,0.4227266,
cell_1757,0.3431702,,,
cell_1758,0.4349289,,,
cell_1759,,,,0.8964883
cell_1760,,0.144488,,
cell_1761,0.5383501,,,
cell_1762,,0.14948292,,
cell_1763,,0.04897957,,
cell_1764,0.6558021,,,
cell_1765,,0.14065431,,
cell_1766,0.6378148,,,
cell_1767,,0.16529682,,
cell_1768,,,0.48785007,
cell_1769,,0.18175611,,
cell_1770,,,,0.46356532
cell_1771,0.64093083,,,
cell_1772,,,0.5485645,
cell_1773,,,0.49500707,
cell_1774,,,0.43676963,
cell_1775,,,0.4581339,
cell_1776,0.640312,,,
cell_1777,0.22491348,,,
cell_1778,0.6594505,,,
cell_1779,0.6684241,,,
cell_1780,0.63389254,,,
cell_1781,,0.15463449,,
cell_1782,,0.051004473,,
cell_1783,0.68339324,,,
cell_1784,0.45426705,,,
cell_1785,,,0.47885123,
cell_1786,0.5356598,,,
cell_1787,,0.04691117,,
cell_1788,0.3762929,,,
cell_1789,0.5643022,,,
cell_1790,0.6250917,,,
cell_1791,0.70537555,,,
cell_1792,0.60601544,,,
cell_1793,0.6604582,,,
cell_1794,,0.09829494,,
cell_1795,,0.038224485,,
cell_1796,0.6926017,,,
cell_1797,0.654974,,,
cell_1798,,,,0.81272596
cell_1799,0.6588194,,,
cell_1800,0.6316346,,,
cell_1801,,0.085985065,,
cell_1802,,,0.45396927,
cell_1803,,,,0.66770524
cell_1804,,,0.4700833,
cell_1805,,0.12854137,,
cell_1806,0.3205532,,,
cell_1807,0.6856302,,,
cell_1808,,0.16378196,,
cell_1809,,,0.52781665,
cell_1810,,0.1306028,,
cell_1811,0.5466306,,,
cell_1812,,,0.38565555,
cell_1813,,0.22429691,,
cell_1814,0.731643,,,
cell_1815,,,0.48053005,
cell_1816,0.6089218,,,
cell_1817,,0.05134602,,
cell_1818,,,,0.653388
cell_1819,0.47292423,,,
cell_1820,0.4177677,,,
cell_1821,0.6747063,,,
cell_1822,,,0.47950837,
cell_1823,,0.048651274,,
cell_1824,0.65766376,,,
cell_1825,0.6594061,,,
cell_1826,0.71955067,,,
cell_1827,,,0.55440605,
cell_1828,,0.1877107,,
cell_1829,0.37449166,,,
cell_1830,0.69084054,,,
cell_1831,,,,0.6323526
cell_1832,0.36857477,,,
cell_1833,,,0.5097203,
cell_1834,0.5358303,,,
cell_1835,0.61349195,,,
cell_1836,,0.18775487,,
cell_1837,,,,0.43044412
cell_1838,0.6626119,,,
cell_1839,,0.14713134,,
cell_1840,,0.017556675,,
cell_1841,0.42018604,,,
cell_1842,,0.16889362,,
cell_1843,0.715746,,,
cell_1844,,0.16458087,,
cell_1845,0.6416902,,,
cell_1846,,,,0.76985633
cell_1847,,,0.4727679,
cell_1848,0.49203306,,,
cell_1849,0.4233801,,,
cell_1850,,,,0.67697793
cell_1851,0.65105,,,
cell_1852,,0.19027306,,
cell_1853,0.64868504,,,
cell_1854,,0.04944269,,
cell_1855,,0.089006424,,
cell_1856,0.65870744,,,
cell_1857,0.38999304,,,
cell_1858,0.66723883,,,
cell_1859,,,0.4836393,
cell_1860,0.5690914,,,
cell_1861,,0.12588039,,
cell_1862,,,0.4705758,
cell_1863,0.38024327,,,
cell_1864,,,0.49957544,
cell_1865,,0.021900618,,
cell_1866,,0.19161406,,
cell_1867,,,,0.8163148
cell_1868,0.44037098,,,
cell_1869,,,,0.81523323
cell_1870,,,0.4469777,
cell_1871,,,0.46857962,
cell_1872,,,0.46914873,
cell_1873,,0.06581519,,
cell_1874,,0.17285962,,
cell_1875,,,0.4348801,
cell_1876,,0.13211657,,
cell_1877,,,,0.7553683
cell_1878,,0.15385233,,
cell_1879,,,0.44957,
cell_1880,0.40114617,,,
cell_1881,0.65154123,,,
cell_1882,,0.17762132,,
cell_1883,,0.06843207,,
cell_1884,0.49102563,,,
cell_1885,,,,0.94540614
cell_1886,,0.17183691,,
cell_1887,0.70273095,,,
cell_1888,,,,0.79768896
cell_1889,0.4654172,,,
cell_1890,,,0.37819606,
cell_1891,,0.16405368,,
cell_1892,0.69047457,,,
cell_1893,,,0.46221337,
cell_1894,,,0.47494552,
cell_1895,,0.11773676,,
cell_1896,0.6538771,,,
cell_1897,0.6902922,,,
cell_1898,,0.08462284,,
cell_1899,,,,0.7413952
cell_1900,,,0.44075862,
cell_1901,,0.045343723,,
cell_1902,0.52411515,,,
cell_1903,0.580676,,,
cell_1904,0.47244772,,,
cell_1905,,0.027728805,,
cell_1906,0.631664,,,
cell_1907,,,,0.89059544
cell_1908,,,0.4555458,
cell_1909,,0.16713096,,
cell_1910,,,,0.52015334
cell_1911,0.51950955,,,
cell_1912,0.67783046,,,
cell_1913,0.6083302,,,
cell_1914,,,0.5120583,
cell_1915,0.39095715,,,
cell_1916,0.6714322,,,
cell_1917,0.6427243,,,
cell_1918,,0.072388,,
cell_1919,0.4555405,,,
cell_1920,0.5591185,,,
cell_1921,,,0.43786055,
cell_1922,0.6169554,,,
cell_1923,,0.044591144,,
cell_1924,,0.17578569,,
cell_1925,0.48592997,,,
cell_1926,,0.15902022,,
cell_1927,,0.15916707,,
cell_1928,0.7166824,,,
cell_1929,,,,0.40409282
cell_1930,,0.050663717,,
cell_1931,,0.067211606,,
cell_1932,0.7048484,,,
cell_1933,,,0.44613633,
cell_1934,0.61870223,,,
cell_1935,0.21130453,,,
cell_1936,0.38607305,,,
cell_1937,,,,0.88606423
cell_1938,0.64686036,,,
cell_1939,,0.15609466,,
cell_1940,,0.03650563,,
cell_1941,,0.07492873,,
cell_1942,,,,0.82771546
cell_1943,,,0.4427875,
cell_1944,,,0.49329653,
cell_1945,0.48930055,,,
cell_1946,,,0.41047442,
cell_1947,,,0.41481277,
cell_1948,,0.06887703,,
cell_1949,,0.04279052,,
cell_1950,0.6861808,,,
cell_1951,,0.03310071,,
cell_1952,0.66746265,,,
cell_1953,,,0.47437033,
cell_1954,,0.15636142,,
cell_1955,,,0.47620028,
cell_1956,0.5382433,,,
cell_1957,0.65977824,,,
cell_1958,0.6643529,,,
cell_1959,0.5040912,,,
cell_1960,0.6642435,,,
cell_1961,0.6999601,,,
cell_1962,,,,0.41179422
cell_1963,,,,0.46325132
cell_1964,,,0.4318218,
cell_1965,,0.12936406,,
cell_1966,,,0.500563,
cell_1967,,,0.5631024,
cell_1968,,,0.543383,
cell_1969,0.5501698,,,
cell_1970,,0.06668885,,
cell_1971,0.6103272,,,
cell_1972,0.6243499,,,
cell_1973,0.5244561,,,
cell_1974,,0.050319437,,
cell_1975,0.65104806,,,
cell_1976,,,0.47042486,
cell_1977,,,0.50798255,
cell_1978,,,,0.7969434
cell_1979,0.51944035,,,
cell_1980,0.6453572,,,
cell_1981,,,0.35126182,
cell_1982,,,0.44768104,
cell_1983,,0.12324667,,
cell_1984,0.68648994,,,
cell_1985,,0.18517138,,
cell_1986,,0.101193585,,
cell_1987,,,0.46294257,
cell_1988,,,0.489846,
cell_1989,,,0.5008999,
cell_1990,0.5214462,,,
cell_1991,0.39728257,,,
cell_1992,0.70029867,,,
cell_1993,,,0.4408665,
cell_1994,,0.18634905,,
cell_1995,,0.14593926,,
cell_1996,0.6491852,,,
cell_1997,,0.09142994,,
cell_1998,,,,0.742328
cell_1999,0.6935558,,,
